Tiempo, Fitness
3, 286
4, 303
5, 342
7, 334
8, 373
9, 360
10, 405
12, 394
12, 418
14, 439
15, 416
17, 459
18, 438
19, 467
21, 451
21, 481
23, 472
23, 493
25, 498
26, 484
28, 501
29, 492
30, 505
32, 498
32, 506
34, 506
34, 508
37, 506
40, 508
