Tiempo, Fitness
2, 290
2, 303
2, 305
2, 308
3, 335
3, 339
3, 343
4, 324
4, 360
4, 373
4, 380
5, 351
5, 388
5, 390
5, 393
6, 406
6, 407
6, 420
7, 375
7, 428
7, 431
7, 440
8, 396
8, 454
9, 441
9, 450
10, 413
10, 449
10, 458
10, 467
11, 430
11, 470
11, 473
11, 473
12, 477
12, 487
12, 489
13, 450
13, 488
13, 494
13, 496
14, 455
14, 496
14, 499
14, 501
15, 468
15, 500
15, 504
15, 504
16, 503
16, 503
16, 507
17, 480
17, 505
17, 507
17, 507
18, 488
19, 505
19, 505
19, 506
20, 494
20, 505
20, 506
20, 511
21, 497
21, 507
21, 507
21, 509
22, 508
23, 501
23, 508
24, 503
24, 507
25, 507
26, 506
27, 507
27, 507
28, 508
29, 508
29, 509
30, 507
30, 509
32, 507
32, 508
33, 507
34, 511
35, 507
36, 507
